Name,Address,Phone,Website,Category,Email,Detail_URL
abSketches LLC,"239 W. Philadelphia St.

York
PA
17401",(717) 850-5371,http://absketches.com/,Architects,,https://business.ycea-pa.org/list/member/absketches-llc-20962
Accardo Real Estate Team - Keller Williams Keystone Realty,"2610 Course Road

York
PA
17402",(717) 356-9413,http://www.accardoteam.com,Real Estate - Residential,,https://business.ycea-pa.org/list/member/accardo-real-estate-team-keller-williams-keystone-realty-23114
AE Marketing Solutions,"57 S. Beaver Street
Apt.1

York
PA
17401",(631) 660-1915,http://www.aesol.com.br,Consultants - Business,,https://business.ycea-pa.org/list/member/ae-marketing-solutions-23761
Aerotek,"3411 Concord Rd.

York
PA
17402",(717) 781-8510,https://www.aerotek.com/locations/united-states/pennsylvania/york?ecid=ls_aero_mozbizlist_160,Employment Services,,https://business.ycea-pa.org/list/member/aerotek-york-7662
Air Dynamics Industrial Systems Corp.,"180 Roosevelt Ave

York
PA
17401-3333",(717) 854-4050,http://www.airdynamics.net,Air Cleaning Equipment,,https://business.ycea-pa.org/list/member/air-dynamics-industrial-systems-corp-4270
"Alternative HR, LLC","554 Pacific Avenue

York
PA
17404",(717) 855-5589,http://www.alternative-hr.com,Consultants - Human Resources,,https://business.ycea-pa.org/list/member/alternative-hr-llc-18375
Ameerah's Royal Pedicures,"562 West Market

York
PA
17401",(717) 318-4755,https://ameerahs-royal-pedicures.ueniweb.com/,Health & Nutrition,,https://business.ycea-pa.org/list/member/ameerah-s-royal-pedicures-york-23279
Amoroso Wellness at York,"2830 Carol Road

York
PA
17402",(717) 755-7600,http://amoroso.care,Retirement Communities,,https://business.ycea-pa.org/list/member/amoroso-wellness-at-york-23227
"Armstrong Relocation Company, Pennsylvania, LLC","1074 E Main Street

Mount Joy
PA
17552-9332",(717) 492-4155,http://lancaster.armstrongrelocation.com/,Moving & Storage,,https://business.ycea-pa.org/list/member/armstrong-relocation-company-pennsylvania-llc-20615
Around The Clock Cleaning,"138 Meadow Hill Drive

York
PA
17402",(717) 495-9365,http://www.Atccleaningpa.com,Cleaning & Janitorial Services,,https://business.ycea-pa.org/list/member/around-the-clock-cleaning-york-23888
Artemis The Art Of Living LP and dba  Artemis Venues,"34 N Railroad Lane

Red Lion
Pa
17356",(717) 314-0110,http://www.artemistheartofliving.com,Event Rentals,,https://business.ycea-pa.org/list/member/artemis-the-art-of-living-lp-and-dba-artemis-venues-22407
ASL Services,"2536 Eastern Blvd, Ste 130

York
PA
17402",(717) 755-3212,http://www.aslservicespa.com,Sign Language Interpreters,,https://business.ycea-pa.org/list/member/asl-services-15115
Atlee Hall Attorneys at Law,"415 North Duke Street
Suite 220

Lancaster
PA
17602",(717) 393-9596,https://atleehall.com/,Attorneys,,https://business.ycea-pa.org/list/member/atlee-hall-attorneys-at-law-22871
Axiom Staffing Group,"800 E. King St., Suite 539

York
PA
17403",(717) 797-4026,http://www.axiomstaffing.com,Employment Services,,https://business.ycea-pa.org/list/member/axiom-staffing-group-22801
"Barley Snyder, LLP","100 E Market St

York
PA
17401",(717) 846-8888,http://www.barley.com,Attorneys,,https://business.ycea-pa.org/list/member/barley-snyder-llp-1426
"Barton Associates, Inc.","Susquehanna Commerce Center
221 W Philadelphia St, North Bldg

York
PA
17401",(717) 845-7654,http://www.ba-inc.com,Consultants - Engineering,,https://business.ycea-pa.org/list/member/barton-associates-inc-york-144
"Bellomo & Associates, LLC","3198 E Market St

York
PA
17402",(717) 845-5390,http://www.bellomoassociates.com,Attorneys,,https://business.ycea-pa.org/list/member/bellomo-associates-llc-17574
"Bennett Williams Realty, Inc.","3528 Concord Rd.

York
PA
17402",(717) 843-5555,http://www.bennettwilliams.com,Real Estate - Commercial,,https://business.ycea-pa.org/list/member/bennett-williams-realty-inc-york-1737
Berkshire Hathaway HomeServices Homesale Realty,"2525 Eastern Blvd

York
PA
17402",(717) 757-7811,http://www.homesale.com,Real Estate - Residential,,https://business.ycea-pa.org/list/member/berkshire-hathaway-homeservices-homesale-realty-332
"BJ Riley Pest Control, Inc.","185 Wynshire Ln

Red Lion
PA
17356",(717) 840-1966,https://bjrileypestcontrol.com/,Pest Control,,https://business.ycea-pa.org/list/member/bj-riley-pest-control-inc-22493
Brown Plus,"195 Stock St, Ste 311

Hanover
PA
17331",(717) 637-7300,https://www.brownplus.com/,Accountants,,https://business.ycea-pa.org/list/member/brown-plus-3702
"Buchart Horn, Inc.","445 W Philadelphia St

York
PA
17401-3383",(717) 852-1400,http://www.bucharthorn.com,Consultants - Engineering,,https://business.ycea-pa.org/list/member/buchart-horn-inc-238
